spx100e,spx90e,spx80e,spx70e,spx60e,spx50e,spx40e,spx30e,spx20e,spx10e,spx0e
1.462662589,1.41876056,1.374868097,1.330985786,1.287114263,1.243254218,1.199406401,1.155571629,1.111750794,1.06794487,1.024154925
1.148006171,1.139170662,1.129825635,1.11993797,1.109471609,1.098387231,1.086641867,1.074188472,1.060975427,1.04694597,1.032037542
0.889979279,0.906068743,0.922121256,0.938133255,0.9541007,0.970018998,0.985882902,1.001686391,1.017422519,1.033083235,1.048659152
0.910583903,0.924922972,0.939262042,0.953601111,0.967940181,0.98227925,0.99661832,1.010957389,1.025296459,1.039635528,1.053974598
0.920755491,0.934675905,0.9485715,0.962441838,0.97628647,0.990104938,1.003896772,1.017661491,1.031398602,1.0451076,1.058787968
0.951968287,0.964888821,0.977720611,0.990462093,1.003111667,1.015667693,1.028128494,1.040492351,1.052757503,1.064922148,1.07698444
1.030540376,1.038521865,1.046152529,1.053426356,1.060337196,1.066878756,1.073044599,1.078828134,1.084222617,1.089221144,1.093816647
0.992830596,1.001419301,1.009696395,1.017655754,1.025291088,1.032595945,1.039563696,1.046187537,1.052460477,1.058375337,1.063924738
1.032341284,1.039665351,1.046648389,1.053286772,1.059576821,1.065514808,1.071096947,1.0763194,1.081178275,1.085669621,1.08978943
0.785321581,0.813055154,0.841663862,0.871181676,0.901644347,0.933089524,0.965556885,0.999088272,1.033727845,1.069522239,1.106520744
0.797551759,0.825753,0.854958927,0.885219667,0.916588734,0.949123326,0.982884645,1.017938257,1.054354481,1.092208834,1.13158252
0.737848241,0.768831938,0.801376597,0.83559945,0.871629769,0.909610453,0.949699874,0.992074025,1.036929045,1.084484186,1.134985319
0.671336686,0.707808352,0.746154015,0.786490511,0.828944593,0.873654011,0.920768724,0.970452289,1.022883434,1.078257863,1.136790317
0.769475809,0.803248331,0.837609319,0.872555448,0.908083419,0.944189956,0.980871811,1.018125755,1.055948589,1.094337133,1.133288232
0.876488053,0.901867402,0.927186353,0.952448081,0.977655543,1.002811495,1.027918509,1.052978989,1.077995185,1.102969202,1.127903017
0.802363909,0.836133723,0.869903537,0.903673351,0.937443165,0.971212979,1.004982793,1.038752607,1.072522421,1.106292235,1.140062049
0.797331654,0.831674317,0.866090934,0.900582951,0.935151854,0.969799164,1.004526446,1.039335306,1.074227392,1.109204399,1.144268067
0.875852074,0.906460192,0.936458604,0.965832506,0.994566612,1.022645134,1.050051758,1.076769627,1.102781312,1.128068793,1.152613433
0.755764352,0.791882915,0.828473582,0.865556203,0.903151757,0.941282434,0.97997172,1.0192445,1.059127155,1.099647683,1.140835822
0.699193942,0.740176649,0.782422977,0.825985719,0.870920649,0.91728674,0.965146393,1.014565689,1.065614666,1.118367618,1.172903428
0.620056639,0.666214727,0.714506318,0.765011057,0.8178126,0.872998878,0.930662363,0.990900375,1.053815396,1.119515422,1.188114338
0.851702139,0.88324288,0.914493919,0.945460858,0.976149151,1.006564115,1.036710932,1.066594655,1.09622021,1.1255924,1.154715912
0.751783162,0.788591602,0.825783656,0.86335572,0.901304232,0.939625676,0.978316581,1.017373515,1.056793092,1.096571967,1.136706835
0.750275493,0.786570473,0.823227435,0.860244272,0.897618893,0.935349225,0.973433209,1.011868805,1.050653984,1.089786737,1.129265068
0.612468393,0.659738833,0.707981858,0.757148491,0.807192987,0.858072575,0.909747216,0.962179392,1.015333908,1.069177718,1.123679758
